,NEW_ADDRESS,MIN_DATE,CUMULATIVE_ADDRESS
0,3,2020-05-30,3
1,1,2020-06-12,4
2,2,2020-06-18,6
3,2,2020-06-19,8
4,6,2020-06-20,14
5,3,2020-06-30,17
6,4,2020-07-03,21
7,1,2020-07-07,22
8,3,2020-07-08,25
9,3,2020-07-09,28
10,6,2020-07-11,34
11,2,2020-07-12,36
12,2,2020-07-13,38
13,4,2020-07-15,42
14,5,2020-07-16,47
15,1,2020-07-17,48
16,1,2020-07-18,49
17,2,2020-07-19,51
18,3,2020-07-20,54
19,1,2020-07-21,55
20,2,2020-07-22,57
21,19,2020-07-23,76
22,13,2020-07-24,89
23,3,2020-07-25,92
24,5,2020-07-26,97
25,18,2020-07-27,115
26,4,2020-07-28,119
27,6,2020-07-29,125
28,2,2020-07-30,127
29,13,2020-07-31,140
30,46,2020-08-01,186
31,17,2020-08-02,203
32,95,2020-08-03,298
33,66,2020-08-04,364
34,40,2020-08-05,404
35,43,2020-08-06,447
36,39,2020-08-07,486
37,33,2020-08-08,519
38,30,2020-08-09,549
39,41,2020-08-10,590
40,40,2020-08-11,630
41,28,2020-08-12,658
42,22,2020-08-13,680
43,29,2020-08-14,709
44,34,2020-08-15,743
45,21,2020-08-16,764
46,129,2020-08-17,893
47,31,2020-08-18,924
48,31,2020-08-19,955
49,22,2020-08-20,977
50,36,2020-08-21,1013
51,24,2020-08-22,1037
52,29,2020-08-23,1066
53,32,2020-08-24,1098
54,40,2020-08-25,1138
55,50,2020-08-26,1188
56,46,2020-08-27,1234
57,56,2020-08-28,1290
58,51,2020-08-29,1341
59,64,2020-08-30,1405
60,46,2020-08-31,1451
61,68,2020-09-01,1519
62,63,2020-09-02,1582
63,54,2020-09-03,1636
64,44,2020-09-04,1680
65,62,2020-09-05,1742
66,54,2020-09-06,1796
67,35,2020-09-07,1831
68,48,2020-09-08,1879
69,38,2020-09-09,1917
70,47,2020-09-10,1964
71,56,2020-09-11,2020
72,50,2020-09-12,2070
73,64,2020-09-13,2134
74,79,2020-09-14,2213
75,55,2020-09-15,2268
76,55,2020-09-16,2323
77,24,2020-09-17,2347
78,43,2020-09-18,2390
79,49,2020-09-19,2439
80,25,2020-09-20,2464
81,34,2020-09-21,2498
82,47,2020-09-22,2545
83,48,2020-09-23,2593
84,3102,2020-09-24,5695
85,94628,2020-09-25,100323
86,46,2020-09-26,100369
87,31,2020-09-27,100400
88,37,2020-09-28,100437
89,51,2020-09-29,100488
90,381,2020-09-30,100869
91,1993,2020-10-01,102862
92,184,2020-10-02,103046
93,111,2020-10-03,103157
94,67,2020-10-04,103224
95,54,2020-10-05,103278
96,55,2020-10-06,103333
97,96,2020-10-07,103429
98,38,2020-10-08,103467
99,86,2020-10-09,103553
100,65,2020-10-10,103618
101,150,2020-10-11,103768
