,DATE,MARKET_CAP,MATIC_AVERAGE_PRICE,CIRCULATING_SUPPLY,HOLDERS
0,2021-10-03,7384497047.63201,1.316939335,5607317550.2795,176151
1,2021-11-03,12934034035.228,2.032499253,6363610718.89054,222309
2,2020-05-17,66665044.3570689,0.02039798412,3268217288.48433,3361
3,2022-01-21,12104725412.0527,1.867701014,6481083065.61481,324538
4,2022-02-13,10909624991.6181,1.696548199,6430483378.16513,354057
5,2022-02-23,9616115268.7506,1.512298153,6358610735.71577,366974
6,2022-05-08,6498122950.56439,0.9917265061,6552333642.75748,406709
7,2022-06-14,2887152176.15442,0.4214827513,6849988920.12127,426801
8,2021-05-08,3943365622.20824,0.7649039385,5155373666.69501,71660
9,2021-06-14,7612444727.73803,1.47984808,5144071766.77671,71795
10,2021-08-04,5575653627.87558,1.043335733,5344064668.30071,103766
11,2020-06-01,70267291.1725765,0.02150018954,3268217288.48433,3361
12,2022-03-18,9306705962.73837,1.451760718,6410633549.96828,378187
13,2022-06-23,3628124307.51851,0.5060720377,7169185485.5956,430823
14,2021-04-10,1747187618.74542,0.3653851026,4781770264.59205,53206
15,2022-07-29,6630356319.28431,0.9488083677,6988087948.03292,450648
16,2022-07-30,6601395131.01577,0.9442938893,6990826908.89068,451095
17,2020-09-26,58072839.5679491,0.01910808636,3039176110.36479,10387
18,2020-12-04,77282711.2460683,0.02001184698,3861847999.84306,15943
19,2020-06-24,73686565.0271504,0.02211921948,3331336582.08176,3886
20,2020-09-19,63741438.8477986,0.02099352505,3036242779.20077,9800
21,2021-07-15,4724693346.84396,0.8995305441,5252399018.66105,74840
22,2021-09-21,6239388337.04204,1.134183542,5501215727.19902,163784
23,2022-01-11,14119278314.3413,2.215663016,6372484539.36019,323442
24,2022-02-08,12666106230.9493,1.949781864,6496165785.32633,348429
25,2022-03-01,10254421938.5864,1.605264156,6387996581.0472,373684
26,2022-03-25,10370104655.728,1.616436341,6415411724.08366,383064
27,2020-09-14,58878321.7045762,0.02003059485,2939419530.89426,9599
28,2020-11-19,66168201.0506681,0.0172776572,3829697526.20508,14350
29,2021-03-26,1413195999.49741,0.325381563,4343196296.50575,45208
30,2021-04-12,1734047769.1501,0.3593900324,4824974576.36374,54148
31,2020-11-02,47656614.3745254,0.01395397292,3415272098.543,12914
32,2022-06-13,3005237791.71624,0.4432671513,6779743960.71054,425702
33,2020-09-01,77327034.3073078,0.02630690634,2939419530.89426,9599
34,2021-03-01,925590103.821325,0.2309901287,4007054799.65206,29185
35,2021-05-11,4717507780.64144,0.9170765873,5144071766.77671,71795
36,2020-05-09,58241382.1259725,0.01784146582,3264383247.02865,3026
37,2021-08-10,6081598203.41536,1.137376353,5347041184.706,110726
38,2021-10-10,7422222197.7094,1.315722804,5641174702.67748,185020
39,2021-10-12,6812263403.84389,1.20653341,5646145682.95838,187249
40,2021-12-03,14513249416.1469,2.230650043,6506287016.66565,274040
41,2020-05-14,65504633.8461988,0.0200806196,3262082303.64155,3345
42,2022-02-25,9407568773.51522,1.476056398,6373448053.25433,369371
43,2022-05-24,4340137849.18197,0.6429723257,6750116102.74317,418503
44,2022-06-02,4100973766.99787,0.6058186548,6769309156.47204,421534
45,2020-07-11,65642694.7065994,0.02108247111,3113614830.19863,5350
46,2022-07-05,3627575475.11898,0.5120200947,7084830288.17006,432786
47,2022-07-14,4624735127.09028,0.6531664549,7080484755.91222,439764
48,2020-10-21,45638785.3284729,0.01626065161,2806700889.58505,12629
49,2020-11-07,61266914.5389257,0.01591098829,3850603960.47332,13287
