,DATE,AVG_TXN,FEES
0,2021-09-01 00:00:00.000,268396,975.811881875
1,2021-09-02 00:00:00.000,271486,907.734669955
2,2021-09-03 00:00:00.000,258679,821.471362869
3,2021-09-04 00:00:00.000,244522,786.009645496
4,2021-09-05 00:00:00.000,230124,750.34654841
5,2021-09-06 00:00:00.000,271467,820.52376213
6,2021-09-07 00:00:00.000,305580,3222.005274867
7,2021-09-08 00:00:00.000,277401,1643.319484398
8,2021-09-09 00:00:00.000,292278,1280.297847209
9,2021-09-10 00:00:00.000,277474,1513.899081563
10,2021-09-11 00:00:00.000,262835,810.190905625
11,2021-09-12 00:00:00.000,248231,1060.627079168
12,2021-09-13 00:00:00.000,248422,1115.831541568
13,2021-09-14 00:00:00.000,259914,972.287774359
14,2021-09-15 00:00:00.000,248203,1067.12929903
15,2021-09-16 00:00:00.000,232013,1205.540273625
16,2021-09-17 00:00:00.000,228720,856.769105465
17,2021-09-18 00:00:00.000,226749,986.835449594
18,2021-09-19 00:00:00.000,226627,836.580674369
19,2021-09-20 00:00:00.000,275882,2032.488592956
20,2021-09-21 00:00:00.000,274004,2493.236189738
21,2021-09-22 00:00:00.000,263179,1170.135297168
22,2021-09-23 00:00:00.000,249045,867.509374361
23,2021-09-24 00:00:00.000,278844,1313.988319345
24,2021-09-25 00:00:00.000,265579,938.882692413
25,2021-09-26 00:00:00.000,293938,879.044954227
26,2021-09-27 00:00:00.000,287602,787.016981727
27,2021-09-28 00:00:00.000,274950,820.469572006
28,2021-09-29 00:00:00.000,240350,911.125521201
29,2021-09-30 00:00:00.000,270016,999.960628702
30,2021-10-01 00:00:00.000,250109,918.281044968
31,2021-10-02 00:00:00.000,246898,696.472771954
32,2021-10-03 00:00:00.000,252642,667.679111766
33,2021-10-04 00:00:00.000,225651,870.92722457
34,2021-10-05 00:00:00.000,202614,898.965596466
35,2021-10-06 00:00:00.000,150216,1321.828990016
36,2021-10-07 00:00:00.000,153122,1155.059153956
37,2021-10-08 00:00:00.000,155078,1134.060163559
38,2021-10-09 00:00:00.000,121346,811.507700691
39,2021-10-10 00:00:00.000,131647,965.183704967
